#datetime;#system_name;#system_location;#event;#sent_to;#received_from;#error;
2016-09-03 21:33:43.923843;BlackBabyForFreedom;192.168.2.114;udp log file created;;;;
2016-09-03 21:33:43.923954;BlackBabyForFreedom;192.168.2.114;server ready;;;;
2016-09-03 21:38:47.296419;BlackBabyForFreedom;192.168.2.114;transfer request;;('192.168.2.114', 10017);;
2016-09-03 21:38:47.296615;BlackBabyForFreedom;192.168.2.114;unallowed transfer attempt;;('192.168.2.114', 10017);;
2016-09-03 21:40:57.989114;BlackBabyForFreedom;192.168.2.114;transfer request;;('192.168.2.114', 10007);;
2016-09-03 21:40:57.989332;BlackBabyForFreedom;192.168.2.114;unallowed transfer attempt;;('192.168.2.114', 10007);;
2016-09-03 21:43:12.875251;BlackBabyForFreedom;192.168.2.114;exit script;;;;
2016-09-03 21:43:14.923974;BlackBabyForFreedom;192.168.2.114;server ready;;;;
2016-09-03 21:43:22.913970;BlackBabyForFreedom;192.168.2.114;transfer request;;('192.168.2.114', 10019);;
2016-09-03 21:43:23.914864;BlackBabyForFreedom;192.168.2.114;expecting 5 packets;;('192.168.2.114', 10019);;
2016-09-03 21:43:23.916859;BlackBabyForFreedom;192.168.2.114;expected: 5, received: 5, broken: 0 ;;('192.168.2.114', 10019);;
2016-09-03 21:43:23.917007;BlackBabyForFreedom;192.168.2.114;send confirmation;('192.168.2.114', 10019);;;
2016-09-03 21:43:43.232931;BlackBabyForFreedom;192.168.2.114;expecting 5 packets;;('192.168.2.114', 10020);;
2016-09-03 21:43:43.235837;BlackBabyForFreedom;192.168.2.114;expected: 5, received: 5, broken: 0 ;;('192.168.2.114', 10020);;
2016-09-03 21:43:43.236058;BlackBabyForFreedom;192.168.2.114;send confirmation;('192.168.2.114', 10020);;;
2016-09-03 21:44:48.277128;BlackBabyForFreedom;192.168.2.114;expecting 5 packets;;('192.168.2.114', 10020);;
2016-09-03 21:44:48.282736;BlackBabyForFreedom;192.168.2.114;expected: 5, received: 5, broken: 0 ;;('192.168.2.114', 10020);;
2016-09-03 21:44:48.283379;BlackBabyForFreedom;192.168.2.114;send confirmation;('192.168.2.114', 10020);;;
2016-09-03 21:49:49.927842;BlackBabyForFreedom;192.168.2.114;expecting 5 packets;;('192.168.2.114', 10019);;
2016-09-03 21:50:27.693322;BlackBabyForFreedom;192.168.2.114;expecting 5 packets;;('192.168.2.114', 10000);;
2016-09-03 21:50:41.731876;BlackBabyForFreedom;192.168.2.114;expecting 5 packets;;('192.168.2.114', 10012);;
2016-09-03 21:51:31.231524;BlackBabyForFreedom;192.168.2.114;expecting 5 packets;;('192.168.2.114', 10008);;
2016-09-03 21:52:31.431308;BlackBabyForFreedom;192.168.2.114;expecting 5 packets;;('192.168.2.114', 10016);;
2016-09-03 21:54:06.449027;BlackBabyForFreedom;192.168.2.114;expecting 5 packets;;('192.168.2.114', 10020);;
2016-09-03 21:54:25.279141;BlackBabyForFreedom;192.168.2.114;expecting 5 packets;;('192.168.2.114', 10006);;
2016-09-03 21:54:52.708534;BlackBabyForFreedom;192.168.2.114;expecting 5 packets;;('192.168.2.114', 10011);;
2016-09-03 21:55:22.708235;BlackBabyForFreedom;192.168.2.114;expecting 5 packets;;('192.168.2.114', 10005);;
2016-09-03 21:55:22.713097;BlackBabyForFreedom;192.168.2.114;expected: 5, received: 5, broken: 0 ;;('192.168.2.114', 10005);;
2016-09-03 21:55:22.713568;BlackBabyForFreedom;192.168.2.114;send confirmation;('192.168.2.114', 10005);;;
2016-09-03 21:55:48.023767;BlackBabyForFreedom;192.168.2.114;expected: 5, received: 6, broken: 0 ;;('192.168.2.114', 10019);;
2016-09-03 21:55:48.024180;BlackBabyForFreedom;192.168.2.114;send confirmation;('192.168.2.114', 10019);;;
2016-09-03 21:56:10.307420;BlackBabyForFreedom;192.168.2.114;expecting 5 packets;;('192.168.2.114', 10018);;
2016-09-03 21:56:10.309893;BlackBabyForFreedom;192.168.2.114;expected: 5, received: 5, broken: 0 ;;('192.168.2.114', 10018);;
2016-09-03 21:56:10.310129;BlackBabyForFreedom;192.168.2.114;send confirmation;('192.168.2.114', 10018);;;
2016-09-03 21:57:34.670715;BlackBabyForFreedom;192.168.2.114;expecting 5 packets;;('192.168.2.114', 10014);;
2016-09-03 21:57:34.675583;BlackBabyForFreedom;192.168.2.114;expected: 5, received: 5, broken: 0 ;;('192.168.2.114', 10014);;
2016-09-03 21:57:34.676052;BlackBabyForFreedom;192.168.2.114;send confirmation;('192.168.2.114', 10014);;;
2016-09-03 21:57:44.199354;BlackBabyForFreedom;192.168.2.114;expecting 10000 packets;;('192.168.2.114', 10009);;
2016-09-03 21:57:46.217834;BlackBabyForFreedom;192.168.2.114;expected: 10000, received: 10000, broken: 0 ;;('192.168.2.114', 10009);;
2016-09-03 21:57:46.218059;BlackBabyForFreedom;192.168.2.114;send confirmation;('192.168.2.114', 10009);;;
2016-09-03 21:59:26.805890;BlackBabyForFreedom;192.168.2.114;exit script;;;;
